,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
315,a9875,redacted,redacted,redacted,t28127,Bücher,Warrior Cats,1.0,2020-05-18,2020-05-18,487.0,,Allgemein,P12,0.0,0.0,,redacted
316,a4493,redacted,redacted,redacted,t3384,Bücher,Warrior Cats,4.0,2020-03-21,2020-05-21,1458.0,,Allgemein,P12 Slash,0.0,1.0,,redacted
317,a9662,redacted,redacted,redacted,t4062,Bücher,Warrior Cats,10.0,2020-03-18,2020-05-24,17263.0,,Fantasy,P12,1.0,5.0,,redacted
318,a5759,redacted,redacted,redacted,t35882,Bücher,Warrior Cats,1.0,2020-05-25,2020-05-25,930.0,,"Familie,  Freundschaft",P16 Slash,1.0,1.0,,redacted
319,a12537,redacted,redacted,redacted,t16021,Bücher,Warrior Cats,3.0,2020-01-04,2020-05-28,2798.0,,Allgemein,P12,4.0,4.0,,redacted
320,a9299,redacted,redacted,redacted,t14914,Bücher,Warrior Cats,1.0,2020-05-28,2020-05-28,5912.0,,Allgemein,P12,3.0,3.0,,redacted
321,a12989,redacted,redacted,redacted,t18685,Bücher,Warrior Cats,3.0,2020-05-23,2020-05-31,3201.0,,"Angst,  Fantasy",P12,4.0,2.0,,redacted
322,a5772,redacted,redacted,redacted,t12260,Bücher,Warrior Cats,2.0,2020-06-02,2020-06-03,786.0,,Freundschaft,P12,0.0,2.0,,redacted
323,a4019,redacted,redacted,redacted,t1802,Bücher,Warrior Cats,1.0,2020-06-07,2020-06-07,1148.0,,Freundschaft,P12,1.0,1.0,,redacted
324,a4873,redacted,redacted,redacted,t16833,Bücher,Warrior Cats,9.0,2020-05-11,2020-06-07,6592.0,,"Familie,  Freundschaft",P16,2.0,10.0,,redacted
325,a8717,redacted,redacted,redacted,t34202,Bücher,Warrior Cats,2.0,2020-04-25,2020-06-08,7656.0,,Abenteuer,P16,3.0,3.0,,redacted
326,a6419,redacted,redacted,redacted,t26041,Bücher,Warrior Cats,1.0,2020-06-11,2020-06-11,42.0,,Allgemein,P12,0.0,2.0,,redacted
327,a10989,redacted,redacted,redacted,t15272,Bücher,Warrior Cats,23.0,2020-01-26,2020-06-12,27666.0,,"Romanze,  Tragödie",P12,10.0,15.0,,redacted
328,a14696,redacted,redacted,redacted,t11698,Bücher,Warrior Cats,4.0,2020-06-07,2020-06-16,6911.0,,"Abenteuer,  Freundschaft",P18 Slash,3.0,6.0,,redacted
329,a10055,redacted,redacted,redacted,t35110,Bücher,Warrior Cats,4.0,2020-06-11,2020-06-21,2377.0,,Abenteuer,P12,1.0,8.0,,redacted
330,a5759,redacted,redacted,redacted,t23118,Bücher,Warrior Cats,1.0,2020-06-21,2020-06-21,1501.0,,"Humor,  Parodie",P12,0.0,0.0,,redacted
331,a8326,redacted,redacted,redacted,t24716,Bücher,Warrior Cats,21.0,2020-04-08,2020-06-25,24409.0,,"Abenteuer,  Freundschaft",P12,6.0,23.0,,redacted
