,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
469,a9267,redacted,redacted,redacted,t37327,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-10,2020-12-10,3094.0,,"Fantasy,  Freundschaft",P6,3.0,2.0,,redacted
470,a597,redacted,redacted,redacted,t17281,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-14,2020-12-14,393.0,,Liebesgeschichte,P12 Slash,4.0,2.0,,redacted
471,a5539,redacted,redacted,redacted,t38200,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-01-04,2020-12-15,952.0,,"Familie,  Liebesgeschichte",P18,2.0,2.0,,redacted
472,a3072,redacted,redacted,redacted,t6709,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,72.0,2020-08-06,2020-12-16,70004.0,,"Abenteuer,  Freundschaft",P16,4.0,77.0,,redacted
473,a1130,redacted,redacted,redacted,t6930,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,7.0,2020-03-08,2020-12-20,9008.0,,"Humor,  Parodie",P12,2.0,16.0,,redacted
474,a14070,redacted,redacted,redacted,t17216,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,18.0,2020-08-16,2020-12-23,35353.0,,"Familie,  Schmerz/ Trost",P16,12.0,33.0,,redacted
475,a9395,redacted,redacted,redacted,t20020,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,24.0,2020-12-01,2020-12-24,24126.0,,"Romance,  Familie",P12 Slash,11.0,87.0,,redacted
476,a6542,redacted,redacted,redacted,t16542,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-11-15,2020-12-25,2365.0,,"Freundschaft,  Liebesgeschichte",P12 Slash,0.0,1.0,,redacted
477,a12461,redacted,redacted,redacted,t12345,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,26.0,2020-12-01,2020-12-26,2177.0,,"Poesie,  Fantasy",P6,4.0,33.0,,redacted
478,a15848,redacted,redacted,redacted,t9849,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,30.0,2020-08-31,2020-11-13,62408.0,,"Abenteuer,  Liebesgeschichte",P16,9.0,48.0,,redacted
479,a4873,redacted,redacted,redacted,t92,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-10-21,2020-11-16,9330.0,,Allgemein,P12 Slash,2.0,7.0,,redacted
480,a12629,redacted,redacted,redacted,t15588,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-10-11,2020-10-15,1956.0,,Fantasy,P12,2.0,3.0,,redacted
481,a9395,redacted,redacted,redacted,t18014,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-08-25,2020-10-18,3550.0,,Allgemein,P12,6.0,12.0,,redacted
482,a9395,redacted,redacted,redacted,t11601,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,19.0,2020-04-28,2020-10-22,25558.0,,Familie,P12,10.0,41.0,,redacted
483,a2361,redacted,redacted,redacted,t33739,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,3.0,2020-05-01,2020-10-23,11130.0,,"Abenteuer,  Romanze",P16,7.0,12.0,,redacted
484,a7235,redacted,redacted,redacted,t35868,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,13.0,2020-08-19,2020-10-23,25570.0,,"Romanze,  Schmerz/ Trost",P16,12.0,72.0,,redacted
485,a1531,redacted,redacted,redacted,t34605,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,3.0,2020-08-18,2020-09-18,4005.0,,"Romanze,  Fantasy",P16 Slash,1.0,1.0,,redacted
486,a13920,redacted,redacted,redacted,t17244,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,17.0,2020-03-31,2020-09-22,26978.0,,"Drama,  Romanze",P16,9.0,33.0,,redacted
487,a4716,redacted,redacted,redacted,t30139,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-08-11,2020-08-11,6084.0,,"Romanze,  Fantasy",P18,2.0,1.0,,redacted
488,a13795,redacted,redacted,redacted,t21346,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-06-19,2020-08-14,2256.0,,"Abenteuer,  Humor",P12,0.0,1.0,,redacted
489,a1411,redacted,redacted,redacted,t33403,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,6.0,2020-05-15,2020-08-24,7479.0,,"Abenteuer,  Romanze",P12,0.0,3.0,,redacted
490,a9395,redacted,redacted,redacted,t18354,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-05-24,2020-08-26,4476.0,,Parodie,P6,2.0,7.0,,redacted
491,a7235,redacted,redacted,redacted,t16527,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,26.0,2020-04-18,2020-07-12,51804.0,,"Familie,  Schmerz/ Trost",P12,29.0,168.0,,redacted
492,a14343,redacted,redacted,redacted,t6864,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,8.0,2020-06-10,2020-07-14,5496.0,,"Abenteuer,  Fantasy",P12,3.0,2.0,,redacted
493,a13694,redacted,redacted,redacted,t18176,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,4.0,2020-04-15,2020-07-15,13786.0,,"Abenteuer,  Fantasy",P16,2.0,2.0,,redacted
494,a1918,redacted,redacted,redacted,t19883,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,3.0,2020-07-08,2020-07-18,6090.0,,"Romanze,  Freundschaft",P16,0.0,5.0,,redacted
495,a1918,redacted,redacted,redacted,t2788,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,5.0,2020-05-12,2020-07-29,3241.0,,"Romanze,  Familie",P16,0.0,9.0,,redacted
496,a8189,redacted,redacted,redacted,t27658,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,16.0,2020-03-10,2020-07-30,36161.0,,"Drama,  Familie",P18,14.0,36.0,,redacted
497,a1109,redacted,redacted,redacted,t15036,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-15,2020-12-15,230.0,,Allgemein,P6,2.0,2.0,,redacted
498,a8498,redacted,redacted,redacted,t23726,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-17,2020-12-17,3417.0,,"Familie,  Fantasy",P12 Slash,1.0,1.0,,redacted
499,a13712,redacted,redacted,redacted,t3839,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-20,2020-12-20,1144.0,,"Familie,  Freundschaft",P12,1.0,2.0,,redacted
500,a597,redacted,redacted,redacted,t35942,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-22,2020-12-22,708.0,,"Familie,  Liebesgeschichte",P12 Slash,2.0,1.0,,redacted
501,a16184,redacted,redacted,redacted,t32602,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-12-22,2020-12-23,1378.0,,Allgemein,P12,1.0,0.0,,redacted
502,a11368,redacted,redacted,redacted,t33965,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-23,2020-12-23,1302.0,,Allgemein,P12,1.0,2.0,,redacted
503,a2619,redacted,redacted,redacted,t10230,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-24,2020-12-24,10252.0,,"Mystery,  Freundschaft",P12,11.0,3.0,,redacted
504,a10548,redacted,redacted,redacted,t21838,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,10.0,2020-12-01,2020-12-24,14802.0,,"Humor,  Familie",P6,5.0,3.0,,redacted
505,a14070,redacted,redacted,redacted,t36536,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,2.0,2020-12-24,2020-12-27,2735.0,,Humor,P12,0.0,0.0,,redacted
506,a5556,redacted,redacted,redacted,t14055,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-27,2020-12-27,2548.0,,"Freundschaft,  Liebesgeschichte",P12 Slash,1.0,0.0,,redacted
507,a13655,redacted,redacted,redacted,t26102,Bücher,J.R.R. Tolkien / Mittelerde / Der Herr der Ringe,1.0,2020-12-31,2020-12-31,3310.0,,Drama,P12,1.0,0.0,,redacted
