,Author Username,Author url,Text ID,url,Text Title,Medium Orig,Fandom Categories,Chapter Amount,Creation Date,Update Date,Word Count,Story Type,Genre,Age Restriction,Endorsment Amount,Review Amount,Gender,Data
69,a6956,redacted,redacted,redacted,t1449,Bücher,Bis(s),15,2021-07-28,2021-08-31,24413.0,,"Familie,  Freundschaft",P12,6.0,11.0,,redacted
70,a16322,redacted,redacted,redacted,t11717,Bücher,Bis(s),5,2021-05-20,2021-07-12,1474.0,,"Familie,  Freundschaft",P12,3.0,6.0,,redacted
71,a16301,redacted,redacted,redacted,t38584,Bücher,Bis(s),28,2020-07-12,2021-07-18,5753.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,46.0,28.0,,redacted
72,a13511,redacted,redacted,redacted,t10421,Bücher,Bis(s),3,2021-01-21,2021-07-18,4281.0,,"Freundschaft,  Schmerz/ Trost",P12,2.0,0.0,,redacted
73,a2267,redacted,redacted,redacted,t34196,Bücher,Bis(s),7,2021-02-27,2021-07-22,4304.0,,"Familie,  Fantasy",P12,3.0,3.0,,redacted
74,a2110,redacted,redacted,redacted,t24022,Bücher,Bis(s),28,2020-05-21,2021-07-22,43648.0,,"Romance,  Liebesgeschichte",P18,18.0,23.0,,redacted
75,a11044,redacted,redacted,redacted,t35281,Bücher,Bis(s),44,2021-02-03,2021-07-27,56904.0,,Allgemein,P16,4.0,68.0,,redacted
76,a2775,redacted,redacted,redacted,t11054,Bücher,Bis(s),6,2021-04-11,2021-07-30,4388.0,,Liebesgeschichte,P16,1.0,2.0,,redacted
77,a7386,redacted,redacted,redacted,t38861,Bücher,Bis(s),6,2021-01-31,2021-08-11,8279.0,,"Freundschaft,  Liebesgeschichte",P16,4.0,2.0,,redacted
78,a4411,redacted,redacted,redacted,t10325,Bücher,Bis(s),16,2021-02-05,2021-06-20,21571.0,,Allgemein,P12,2.0,13.0,,redacted
79,a2008,redacted,redacted,redacted,t1182,Bücher,Bis(s),58,2020-08-11,2021-06-25,97992.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,8.0,29.0,,redacted
80,a9396,redacted,redacted,redacted,t8170,Bücher,Bis(s),34,2020-11-28,2021-07-11,69249.0,,Drama,P16,17.0,24.0,,redacted
81,a3309,redacted,redacted,redacted,t2362,Bücher,Bis(s),7,2021-04-30,2021-05-10,7275.0,,Romance,P18,2.0,1.0,,redacted
82,a14684,redacted,redacted,redacted,t12930,Bücher,Bis(s),2,2021-05-13,2021-05-13,2433.0,,"Schmerz/ Trost,  Liebesgeschichte",P16,2.0,3.0,,redacted
83,a10610,redacted,redacted,redacted,t37755,Bücher,Bis(s),3,2021-03-23,2021-05-14,3579.0,,"Abenteuer,  Liebesgeschichte",P18,1.0,2.0,,redacted
84,a5543,redacted,redacted,redacted,t31351,Bücher,Bis(s),27,2020-04-30,2021-05-17,96409.0,,Allgemein,P18,29.0,81.0,,redacted
85,a13835,redacted,redacted,redacted,t27227,Bücher,Bis(s),8,2021-01-29,2021-05-17,8131.0,,Allgemein,P16,6.0,2.0,,redacted
86,a1561,redacted,redacted,redacted,t5008,Bücher,Bis(s),2,2021-04-24,2021-05-19,3235.0,,"Liebesgeschichte,  Historisch",P18,1.0,0.0,,redacted
87,a7617,redacted,redacted,redacted,t2324,Bücher,Bis(s),3,2020-12-08,2021-05-25,5364.0,,Romance,P16,2.0,3.0,,redacted
88,a12858,redacted,redacted,redacted,t11576,Bücher,Bis(s),8,2021-02-04,2021-04-10,20341.0,,"Familie,  Schmerz/ Trost",P16,16.0,53.0,,redacted
89,a2775,redacted,redacted,redacted,t21140,Bücher,Bis(s),23,2021-03-01,2021-04-12,11744.0,,"Drama,  Liebesgeschichte",P12,1.0,3.0,,redacted
90,a384,redacted,redacted,redacted,t16056,Bücher,Bis(s),23,2020-09-21,2021-04-13,15438.0,,"Familie,  Liebesgeschichte",P12,12.0,15.0,,redacted
91,a12858,redacted,redacted,redacted,t16786,Bücher,Bis(s),3,2021-04-10,2021-04-15,5913.0,,Allgemein,P18,2.0,2.0,,redacted
92,a6739,redacted,redacted,redacted,t4822,Bücher,Bis(s),18,2021-03-23,2021-04-18,23548.0,,"Drama,  Liebesgeschichte",P18,7.0,2.0,,redacted
93,a8908,redacted,redacted,redacted,t38953,Bücher,Bis(s),4,2021-01-07,2021-04-22,7059.0,,Allgemein,P16,1.0,7.0,,redacted
94,a8908,redacted,redacted,redacted,t5258,Bücher,Bis(s),9,2021-01-15,2021-04-22,11724.0,,Allgemein,P16,3.0,2.0,,redacted
95,a9454,redacted,redacted,redacted,t10476,Bücher,Bis(s),8,2021-03-23,2021-04-24,9699.0,,Allgemein,P12,3.0,1.0,,redacted
96,a12766,redacted,redacted,redacted,t34541,Bücher,Bis(s),34,2020-09-05,2021-04-25,149429.0,,Drama,P16,36.0,146.0,,redacted
97,a1967,redacted,redacted,redacted,t9199,Bücher,Bis(s),12,2021-03-02,2021-04-26,11573.0,,Allgemein,P12,3.0,17.0,,redacted
98,a6956,redacted,redacted,redacted,t30683,Bücher,Bis(s),10,2020-10-26,2021-05-11,13555.0,,"Fantasy,  Liebesgeschichte",P12,2.0,3.0,,redacted
99,a4177,redacted,redacted,redacted,t38895,Bücher,Bis(s),6,2020-08-21,2021-05-13,16237.0,,"Freundschaft,  Liebesgeschichte",P16,5.0,4.0,,redacted
100,a647,redacted,redacted,redacted,t8324,Bücher,Bis(s),4,2020-05-29,2021-03-10,7236.0,,"Humor,  Fantasy",P18,5.0,7.0,,redacted
101,a2956,redacted,redacted,redacted,t38341,Bücher,Bis(s),5,2020-10-24,2021-03-10,4353.0,,"Humor,  Parodie",P12,1.0,1.0,,redacted
102,a7086,redacted,redacted,redacted,t10885,Bücher,Bis(s),16,2020-07-23,2021-03-14,29146.0,,Allgemein,P12,4.0,4.0,,redacted
103,a14100,redacted,redacted,redacted,t4913,Bücher,Bis(s),4,2020-05-26,2021-03-18,1812.0,,Familie,P12,5.0,2.0,,redacted
104,a14724,redacted,redacted,redacted,t32852,Bücher,Bis(s),22,2020-01-26,2021-03-20,50.0,,Allgemein,P12,5.0,26.0,,redacted
105,a9873,redacted,redacted,redacted,t15981,Bücher,Bis(s),9,2021-02-19,2021-03-30,21791.0,,"Drama,  Liebesgeschichte",P18,5.0,27.0,,redacted
106,a4411,redacted,redacted,redacted,t17114,Bücher,Bis(s),4,2021-02-12,2021-03-30,766.0,,Fantasy,P12,1.0,4.0,,redacted
107,a4229,redacted,redacted,redacted,t5053,Bücher,Bis(s),8,2021-02-08,2021-02-11,20559.0,,"Drama,  Erotik",P18,0.0,2.0,,redacted
108,a2618,redacted,redacted,redacted,t5788,Bücher,Bis(s),80,2020-07-26,2021-02-22,149403.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,39.0,96.0,,redacted
109,a14740,redacted,redacted,redacted,t10020,Bücher,Bis(s),25,2020-12-15,2021-02-23,18988.0,,"Fantasy,  Freundschaft",P12,8.0,15.0,,redacted
110,a2956,redacted,redacted,redacted,t1588,Bücher,Bis(s),8,2020-09-29,2021-02-24,15658.0,,"Drama,  Liebesgeschichte",P16,12.0,16.0,,redacted
111,a3637,redacted,redacted,redacted,t24455,Bücher,Bis(s),28,2020-08-27,2021-02-24,17168.0,,Allgemein,P18,1.0,2.0,,redacted
112,a15668,redacted,redacted,redacted,t20244,Bücher,Bis(s),19,2020-07-01,2021-01-02,30135.0,,"Drama,  Liebesgeschichte",P16,10.0,47.0,,redacted
113,a15623,redacted,redacted,redacted,t17972,Bücher,Bis(s),19,2020-07-15,2021-01-07,75561.0,,"Drama,  Liebesgeschichte",P16,50.0,142.0,,redacted
114,a6471,redacted,redacted,redacted,t12041,Bücher,Bis(s),3,2020-01-30,2021-01-09,11954.0,,"Freundschaft,  Liebesgeschichte",P16,4.0,2.0,,redacted
115,a15119,redacted,redacted,redacted,t1820,Bücher,Bis(s),25,2020-06-04,2021-01-12,56528.0,,"Abenteuer,  Fantasy",P16,16.0,46.0,,redacted
116,a1465,redacted,redacted,redacted,t27517,Bücher,Bis(s),29,2020-10-10,2021-01-14,73343.0,,"Drama,  Liebesgeschichte",P16,25.0,74.0,,redacted
117,a199,redacted,redacted,redacted,t26603,Bücher,Bis(s),20,2020-09-05,2021-01-17,70379.0,,"Drama,  Fantasy",P18,12.0,10.0,,redacted
118,a14720,redacted,redacted,redacted,t14088,Bücher,Bis(s),8,2020-09-13,2021-01-17,10514.0,,Allgemein,P12,5.0,5.0,,redacted
119,a12446,redacted,redacted,redacted,t32590,Bücher,Bis(s),25,2020-10-04,2021-01-26,37819.0,,"Drama,  Liebesgeschichte",P18,14.0,6.0,,redacted
120,a11217,redacted,redacted,redacted,t6959,Bücher,Bis(s),17,2020-12-12,2021-01-27,30219.0,,"Übernatürlich,  Erotik",P18,2.0,17.0,,redacted
121,a8644,redacted,redacted,redacted,t18053,Bücher,Bis(s),15,2020-10-05,2021-01-27,51415.0,,"Übernatürlich,  Liebesgeschichte",P18,35.0,54.0,,redacted
122,a2270,redacted,redacted,redacted,t22600,Bücher,Bis(s),27,2020-04-06,2021-01-30,34874.0,,"Drama,  Familie",P18,28.0,70.0,,redacted
123,a12094,redacted,redacted,redacted,t25657,Bücher,Bis(s),3,2020-12-20,2021-02-08,1985.0,,"Fantasy,  Freundschaft",P12,1.0,4.0,,redacted
124,a16266,redacted,redacted,redacted,t25140,Bücher,Bis(s),1,2021-12-15,2021-12-15,402.0,,"Humor,  Liebesgeschichte",P16,7.0,3.0,,redacted
125,a8644,redacted,redacted,redacted,t2355,Bücher,Bis(s),2,2021-12-20,2021-12-20,369.0,,"Drama,  Schmerz/ Trost",P16,1.0,0.0,,redacted
126,a1558,redacted,redacted,redacted,t33864,Bücher,Bis(s),2,2021-12-26,2021-12-27,2189.0,,"Fantasy,  Liebesgeschichte",P12,1.0,1.0,,redacted
127,a11972,redacted,redacted,redacted,t31543,Bücher,Bis(s),1,2021-12-28,2021-12-28,247.0,,"Drama,  Angst",P12,1.0,1.0,,redacted
128,a12006,redacted,redacted,redacted,t21360,Bücher,Bis(s),2,2021-12-22,2021-12-30,3432.0,,"Romance,  Fantasy",P16,3.0,1.0,,redacted
129,a12732,redacted,redacted,redacted,t20460,Bücher,Bis(s),1,2021-11-16,2021-11-16,871.0,,"Drama,  Liebesgeschichte",P16,0.0,0.0,,redacted
130,a9396,redacted,redacted,redacted,t24894,Bücher,Bis(s),2,2021-11-18,2021-11-26,4349.0,,"Drama,  Thriller",P16,1.0,0.0,,redacted
131,a16382,redacted,redacted,redacted,t10359,Bücher,Bis(s),2,2021-11-24,2021-11-29,8048.0,,"Fantasy,  Liebesgeschichte",P16,3.0,1.0,,redacted
132,a12175,redacted,redacted,redacted,t34266,Bücher,Bis(s),1,2021-12-02,2021-12-02,2151.0,,Humor,P16,1.0,0.0,,redacted
133,a8628,redacted,redacted,redacted,t15957,Bücher,Bis(s),4,2021-11-29,2021-12-09,5767.0,,"Drama,  Familie",P16,0.0,0.0,,redacted
134,a490,redacted,redacted,redacted,t35134,Bücher,Bis(s),7,2021-11-16,2021-12-10,10972.0,,Liebesgeschichte,P18,2.0,5.0,,redacted
135,a4403,redacted,redacted,redacted,t19991,Bücher,Bis(s),5,2021-11-13,2021-12-11,10547.0,,"Romance,  Übernatürlich",P18,3.0,6.0,,redacted
136,a4420,redacted,redacted,redacted,t37555,Bücher,Bis(s),2,2021-12-06,2021-12-12,8177.0,,"Familie,  Freundschaft",P16,1.0,0.0,,redacted
137,a13,redacted,redacted,redacted,t39000,Bücher,Bis(s),9,2021-11-17,2021-12-12,14775.0,,"Schmerz/ Trost,  Liebesgeschichte",P18,4.0,3.0,,redacted
138,a3858,redacted,redacted,redacted,t12959,Bücher,Bis(s),2,2021-12-10,2021-12-13,6035.0,,"Familie,  Liebesgeschichte",P16,1.0,0.0,,redacted
139,a7418,redacted,redacted,redacted,t12287,Bücher,Bis(s),2,2021-10-23,2021-10-24,814.0,,"Fantasy,  Liebesgeschichte",P18,0.0,2.0,,redacted
140,a12992,redacted,redacted,redacted,t15855,Bücher,Bis(s),1,2021-10-28,2021-10-28,339.0,,Humor,P12,6.0,1.0,,redacted
141,a2267,redacted,redacted,redacted,t26352,Bücher,Bis(s),1,2021-10-29,2021-10-29,259.0,,Allgemein,P12,0.0,0.0,,redacted
142,a2267,redacted,redacted,redacted,t28015,Bücher,Bis(s),1,2021-10-29,2021-10-29,582.0,,Humor,P12,0.0,0.0,,redacted
143,a16427,redacted,redacted,redacted,t4540,Bücher,Bis(s),1,2021-11-02,2021-11-02,4514.0,,Allgemein,P12,2.0,0.0,,redacted
